Card ID,String
3386770044,14549628None
2299683452,1204860None
2574619004,7704956None
2570345340,3431292None
3115357564,11572604None
1232735862391433,1630187310137
1321268459471497,2981087534137
1215526280757897,1367589934137
1145535510479497,299615534137
1303616076776073,2711733550137
1373851509195401,3783441198137
1303826312069769,2714941486137
1179873723679369,823575086137
1233242819527305,1637922862137
1286178308227721,2445654318137
1162667984028297,561036334137
1390949706891913,4044338990137
1285611439653513,2437004590137
1303560175092361,2710880558137
1286135543104137,2445001774137
1373443403416201,3777213998137
1250182321537673,1896399150137
1127045592384137,17481774137
1356701805445769,3521757486137
1374109190455945,3787373102137
1321195109483145,2979968302137
1127299029009033,21348910137
1338787563963017,3248407854137
1268062203282057,2169224494137
1268182428811913,2171058990137
1268392848654985,2174269742137
1145505378599561,299155758137
1145247546344073,295221550137
1180762630914697,837138734137
1390971349500553,4044669230137
1145011323142793,291617070137
1338572547162761,3245126958137
1180268558680713,829599790137
1180530585240201,833597998137
1268186790888073,2171125550137
1286414128775817,2449252654137
1215951197307529,1374073646137
1285933646086793,2441921070137
1145363074253449,296984366137
1215947221107337,1374012974137
1144826253673097,288793134137
1162311233307273,555592750137
1268091966063241,2169678638137
1145428052411017,297975854137
1320615557333641,2971125038137
1127449369641609,23642926137
1215401793815177,1365690414137
1180711275856521,836355118137
1243471995817856,1794007705128
